
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x05","0x06","0x07","0x09","0x0A","0x0B","0x0C","0x0D","0x0F","0x16","0x17","0x18","0x28","0x32","0x4F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x87","0x9C","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","5","6","7","9","10","11","12","13","15","22","23","24","40","50","PUSHM1","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","EQUAL","NUMEQUAL","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs","0","// No source code available","229","172","5","7","2","4","8","1","1","2","1","1","7","1","2","1","1","1","2","204","381","142","40","61","25","40","14","6","5","1","2","3","3","2","1","457","105","10","51","37","573","573","18","60","596","8","236","41","220","2","7","1","1","349","343","90","3"
"","","Tally by Opcode>","229","172","5","7","2","4","8","1","1","2","1","1","7","1","2","1","1","1","2","204","381","142","40","61","25","40","14","6","5","1","2","3","3","2","1","457","105","10","51","37","573","573","18","60","596","8","236","41","220","2","7","1","1","349","343","90","3"
"","","Total Tally>","5159"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x05","0x06","0x07","0x09","0x0A","0x0B","0x0C","0x0D","0x0F","0x16","0x17","0x18","0x28","0x32","0x4F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x87","0x9C","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","5","6","7","9","10","11","12","13","15","22","23","24","40","50","PUSHM1","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","EQUAL","NUMEQUAL","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.105","0.01","0.051","0.037","0.573","0.573","0.018","0.06","0.596","0.008","0.236","0.041","0.22","0.002","0.007","0","0","0.349","0.343","0.09","3"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.105","0.01","0.051","0.037","0.573","0.573","0.018","0.06","0.596","0.008","0.236","0.041","0.22","0.002","0.007","0","0","0.349","0.343","0.09","3"
"","","Total Cost>","6.319"
