Tally by Opcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opcode (Hex) >,0x00,0x01,0x03,0x04,0x05,0x06,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x11,0x12,0x13,0x14,0x15,0x16,0x18,0x19,0x1B,0x1C,0x1E,0x28,0x4F,0x51,0x52,0x53,0x54,0x55,0x56,0x57,0x58,0x59,0x5A,0x5B,0x5C,0x5D,0x5E,0x5F,0x60,0x61,0x62,0x63,0x64,0x66,0x68,0x6B,0x6C,0x72,0x75,0x76,0x79,0x7A,0x7C,0x7E,0x87,0x90,0x93,0x9C,0x9E,0xC0,0xC1,0xC3,0xC4,0xC5,0xFF
,,Opcode >,PUSH0,PUSHBYTES1,3,4,5,6,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,27,28,30,40,PUSHM1,PUSH1,PUSH2,PUSH3,PUSH4,PUSH5,PUSH6,PUSH7,PUSH8,PUSH9,PUSH10,PUSH11,PUSH12,PUSH13,PUSH14,PUSH15,PUSH16,NOP,JMP,JMPIF,JMPIFNOT,RET,SYSCALL,TOALTSTACK,FROMALTSTACK,XSWAP,DROP,DUP,PICK,ROLL,SWAP,CAT,EQUAL,ABS,ADD,NUMEQUAL,NUMNOTEQUAL,ARRAYSIZE,PACK,PICKITEM,SETITEM,NEWARRAY,_STORAGE
,,Cost >,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1
Unknown.cs,0,// No source code available,668,471,3,9,2,2,3,3,8,3,11,2,6,1,4,1,1,1,3,4,18,2,1,13,1,1,655,835,449,126,120,74,105,48,45,24,19,4,5,2,9,3,1059,186,7,14,185,94,1608,1608,36,202,1811,12,470,137,660,3,6,1,10,3,4,1,1316,918,279,5
,,Tally by Opcode>,668,471,3,9,2,2,3,3,8,3,11,2,6,1,4,1,1,1,3,4,18,2,1,13,1,1,655,835,449,126,120,74,105,48,45,24,19,4,5,2,9,3,1059,186,7,14,185,94,1608,1608,36,202,1811,12,470,137,660,3,6,1,10,3,4,1,1316,918,279,5
,,Total Tally>,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costs by Opcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opcode (Hex) >,0x00,0x01,0x03,0x04,0x05,0x06,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x11,0x12,0x13,0x14,0x15,0x16,0x18,0x19,0x1B,0x1C,0x1E,0x28,0x4F,0x51,0x52,0x53,0x54,0x55,0x56,0x57,0x58,0x59,0x5A,0x5B,0x5C,0x5D,0x5E,0x5F,0x60,0x61,0x62,0x63,0x64,0x66,0x68,0x6B,0x6C,0x72,0x75,0x76,0x79,0x7A,0x7C,0x7E,0x87,0x90,0x93,0x9C,0x9E,0xC0,0xC1,0xC3,0xC4,0xC5,0xFF
