
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x0D","0x0F","0x12","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x61","0x62","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","13","15","18","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","NOP","JMP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Small\Contract1.cs","0","// No source code available","68","7","2","3","87","120","25","13","2","2","2","1","110","25","22","12","154","154","22","174","56","18","94","107","37"
"","","Tally by Opcode>","68","7","2","3","87","120","25","13","2","2","2","1","110","25","22","12","154","154","22","174","56","18","94","107","37"
"","","Total Tally>","1317"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x0D","0x0F","0x12","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x61","0x62","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","13","15","18","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","NOP","JMP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Small\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0.022","0.012","0.154","0.154","0.022","0.174","0.056","0.018","0.094","0.107","0.037"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0.022","0.012","0.154","0.154","0.022","0.174","0.056","0.018","0.094","0.107","0.037"
"","","Total Cost>","0.875"
